date,likes,hour,day_of_week,day_category,hours_since_last_post
2007-07-06 22:53:00,9,22,4,2,0.25
2007-07-06 22:54:00,9,22,4,2,0.016666666666666666
2007-07-06 22:55:00,10,22,4,2,0.016666666666666666
2007-07-06 22:55:00,11,22,4,2,0.0
2007-07-07 00:43:00,9,0,5,3,1.8
2007-07-07 00:46:00,9,0,5,3,0.05
2007-07-07 01:50:00,9,1,5,3,1.0666666666666667
2007-07-07 02:01:00,8,2,5,3,0.18333333333333332
2007-07-07 12:59:00,9,12,5,1,10.966666666666667
2007-07-07 14:20:00,11,14,5,1,1.35
2007-07-07 15:20:00,7,15,5,1,1.0
2007-07-07 19:58:00,8,19,5,2,4.633333333333334
2007-07-08 17:00:00,9,17,6,1,21.033333333333335
2007-07-08 18:52:00,8,18,6,2,1.8666666666666667
2007-07-08 19:50:00,10,19,6,2,0.9666666666666667
2007-07-08 22:44:00,9,22,6,2,2.9
2007-07-08 23:39:00,10,23,6,2,0.9166666666666666
2007-07-09 00:49:00,7,0,0,3,1.1666666666666667
2007-07-09 17:02:00,12,17,0,1,16.216666666666665
2007-07-09 19:20:00,9,19,0,2,2.3
2007-07-09 20:54:00,11,20,0,2,1.5666666666666667
2007-07-09 21:57:00,14,21,0,2,1.05
2007-07-10 02:18:00,21,2,1,3,4.35
2007-07-10 02:29:00,30,2,1,3,0.18333333333333332
2007-07-10 03:17:00,10,3,1,3,0.8
2007-07-10 11:31:00,10,11,1,0,8.233333333333333
2007-07-10 20:15:00,11,20,1,2,8.733333333333333
2007-07-10 21:52:00,11,21,1,2,1.6166666666666667
2007-07-11 00:41:00,22,0,2,3,2.816666666666667
2007-07-11 02:02:00,9,2,2,3,1.35
2007-07-11 02:58:00,13,2,2,3,0.9333333333333333
2007-07-11 03:13:00,8,3,2,3,0.25
2007-07-11 03:13:00,8,3,2,3,0.0
2007-07-11 03:41:00,8,3,2,3,0.4666666666666667
2007-07-11 03:44:00,13,3,2,3,0.05
2007-07-11 03:45:00,9,3,2,3,0.016666666666666666
2007-07-11 16:10:00,7,16,2,1,12.416666666666666
2007-07-11 20:23:00,7,20,2,2,4.216666666666667
2007-07-12 00:11:00,8,0,3,3,3.8
2007-07-13 01:30:00,7,1,4,3,25.316666666666666
2007-07-13 13:04:00,12,13,4,1,11.566666666666666
2007-07-13 14:41:00,11,14,4,1,1.6166666666666667
2007-07-15 13:48:00,14,13,6,1,47.11666666666667
2007-07-15 15:32:00,7,15,6,1,1.7333333333333334
2007-07-15 15:53:00,8,15,6,1,0.35
2007-07-15 22:22:00,8,22,6,2,6.483333333333333
2007-07-17 15:18:00,10,15,1,1,40.93333333333333
2007-07-18 22:51:00,9,22,2,2,31.55
2007-07-18 22:55:00,7,22,2,2,0.06666666666666667
2007-07-18 23:53:00,9,23,2,2,0.9666666666666667
2007-07-25 20:31:00,7,20,2,2,164.63333333333333
2007-07-25 23:30:00,16,23,2,2,2.9833333333333334
2007-07-26 03:29:00,30,3,3,3,3.9833333333333334
2007-07-26 03:34:00,20,3,3,3,0.08333333333333333
2007-07-26 14:30:00,8,14,3,1,10.933333333333334
2007-07-26 15:39:00,7,15,3,1,1.15
2007-07-26 18:13:00,13,18,3,2,2.566666666666667
2007-07-26 22:47:00,8,22,3,2,4.566666666666666
2007-07-27 00:20:00,8,0,4,3,1.55
2007-07-27 00:46:00,8,0,4,3,0.43333333333333335
2007-07-27 13:18:00,10,13,4,1,12.533333333333333
2007-07-27 15:24:00,12,15,4,1,2.1
2007-07-28 16:34:00,11,16,5,1,25.166666666666668
2007-07-28 17:22:00,15,17,5,1,0.8
2007-07-28 21:00:00,11,21,5,2,3.6333333333333333
2007-07-28 22:32:00,12,22,5,2,1.5333333333333334
2007-07-28 22:53:00,23,22,5,2,0.35
2007-07-29 01:16:00,10,1,6,3,2.3833333333333333
2007-07-29 01:24:00,8,1,6,3,0.13333333333333333
2007-07-29 14:22:00,8,14,6,1,12.966666666666667
2007-07-29 18:16:00,10,18,6,2,3.9
2007-07-29 18:17:00,11,18,6,2,0.016666666666666666
2007-07-29 18:18:00,6,18,6,2,0.016666666666666666
2007-07-29 19:50:00,27,19,6,2,1.5333333333333334
2007-07-29 20:22:00,10,20,6,2,0.5333333333333333
2007-07-29 20:43:00,8,20,6,2,0.35
2007-07-29 20:44:00,40773,20,6,2,0.016666666666666666
2007-07-29 21:30:00,9,21,6,2,0.7666666666666667
2007-07-30 14:10:00,7,14,0,1,16.666666666666668
2007-07-30 14:38:00,7,14,0,1,0.4666666666666667
2007-07-31 13:26:00,8,13,1,1,22.8
2007-07-31 15:47:00,8,15,1,1,2.35
2007-07-31 17:39:00,9,17,1,1,1.8666666666666667
2007-07-31 19:56:00,216,19,1,2,2.283333333333333
2007-07-31 21:05:00,17,21,1,2,1.15
2007-07-31 22:49:00,8,22,1,2,1.7333333333333334
2007-08-01 01:24:00,9,1,2,3,2.5833333333333335
2007-08-02 13:08:00,9,13,3,1,35.733333333333334
2007-08-02 15:00:00,7,15,3,1,1.8666666666666667
2007-08-03 01:51:00,7,1,4,3,10.85
2007-08-03 13:59:00,12,13,4,1,12.133333333333333
2007-08-03 14:01:00,26,14,4,1,0.03333333333333333
2007-08-03 14:12:00,11,14,4,1,0.18333333333333332
2007-08-03 15:53:00,9,15,4,1,1.6833333333333333
2007-08-03 18:44:00,6,18,4,2,2.85
2007-08-03 18:49:00,9,18,4,2,0.08333333333333333
2007-08-03 19:20:00,9,19,4,2,0.5166666666666667
2007-08-03 21:35:00,8,21,4,2,2.25
2007-08-05 00:24:00,10,0,6,3,26.816666666666666
2007-08-05 02:06:00,13,2,6,3,1.7
2007-08-05 04:47:00,8,4,6,3,2.683333333333333
2007-08-05 22:39:00,8,22,6,2,17.866666666666667
2007-08-06 03:01:00,9,3,0,3,4.366666666666666
2007-08-06 15:11:00,10,15,0,1,12.166666666666666
2007-08-06 17:06:00,10,17,0,1,1.9166666666666667
2007-08-06 23:09:00,9,23,0,2,6.05
2007-08-06 23:10:00,9,23,0,2,0.016666666666666666
2007-08-07 00:05:00,8,0,1,3,0.9166666666666666
2007-08-07 00:16:00,9,0,1,3,0.18333333333333332
2007-08-08 01:38:00,9,1,2,3,25.366666666666667
2007-08-08 01:40:00,11,1,2,3,0.03333333333333333
2007-08-08 16:50:00,10,16,2,1,15.166666666666666
2007-08-08 21:55:00,8,21,2,2,5.083333333333333
2007-08-09 02:44:00,9,2,3,3,4.816666666666666
2007-08-10 00:39:00,12,0,4,3,21.916666666666668
2007-08-10 15:29:00,10,15,4,1,14.833333333333334
2007-08-10 21:55:00,8,21,4,2,6.433333333333334
2007-08-10 22:05:00,13,22,4,2,0.16666666666666666
2007-08-13 16:49:00,8,16,0,1,66.73333333333333
2007-08-13 20:59:00,7,20,0,2,4.166666666666667
2007-08-13 21:09:00,7,21,0,2,0.16666666666666666
2007-08-13 21:16:00,9,21,0,2,0.11666666666666667
2007-08-14 02:09:00,9,2,1,3,4.883333333333334
2007-08-14 20:35:00,7,20,1,2,18.433333333333334
2007-08-14 21:18:00,8,21,1,2,0.7166666666666667
